PROVRES;SEXO;CAUSA;MAT;GRUPEDAD;CUENTA
02;1;A16;NULL;10.15 a 19;2
02;1;A16;NULL;12.25 a 29;1
02;1;A16;NULL;20.65 a 69;3
02;1;A16;NULL;24.85 y más;2
02;1;A41;NULL;03.28 días a 11 meses;1
02;1;A41;NULL;11.20 a 24;2
02;1;A41;NULL;13.30 a 34;4
02;1;A41;NULL;17.50 a 54;18
02;1;A41;NULL;18.55 a 59;39
02;1;A41;NULL;21.70 a 74;101
02;1;A49;NULL;18.55 a 59;1
02;1;A49;NULL;22.75 a 79;3
02;1;A81;NULL;20.65 a 69;1
02;1;A83;NULL;13.30 a 34;1
02;1;A92;NULL;23.80 a 84;1
02;1;A97;NULL;21.70 a 74;1
02;1;B18;NULL;18.55 a 59;1
02;1;B18;NULL;23.80 a 84;1
02;1;B20;NULL;13.30 a 34;1
02;1;B20;NULL;16.45 a 49;13
02;1;B20;NULL;17.50 a 54;5
02;1;B20;NULL;18.55 a 59;7
02;1;B20;NULL;19.60 a 64;5
02;1;B20;NULL;23.80 a 84;1
02;1;B22;NULL;16.45 a 49;1
02;1;B23;NULL;19.60 a 64;1
02;1;B24;NULL;12.25 a 29;1
02;1;B24;NULL;14.35 a 39;1
02;1;B24;NULL;15.40 a 44;1
02;1;B25;NULL;09.10 a 14;1
02;1;B45;NULL;12.25 a 29;1
02;1;B49;NULL;21.70 a 74;1
02;1;B54;NULL;23.80 a 84;1
02;1;B99;NULL;23.80 a 84;1
02;1;C01;NULL;20.65 a 69;2
02;1;C06;NULL;17.50 a 54;1
02;1;C06;NULL;19.60 a 64;1
02;1;C08;NULL;20.65 a 69;1
02;1;C09;NULL;23.80 a 84;1
02;1;C10;NULL;22.75 a 79;1
02;1;C11;NULL;21.70 a 74;1
02;1;C13;NULL;15.40 a 44;1
02;1;C13;NULL;20.65 a 69;2
02;1;C15;NULL;14.35 a 39;1
02;1;C15;NULL;21.70 a 74;6
02;1;C17;NULL;22.75 a 79;1
02;1;C18;NULL;13.30 a 34;6
02;1;C19;NULL;16.45 a 49;1
02;1;C19;NULL;22.75 a 79;1
02;1;C20;NULL;16.45 a 49;3
02;1;C20;NULL;22.75 a 79;6
02;1;C21;NULL;21.70 a 74;2
02;1;C22;NULL;20.65 a 69;10
02;1;C22;NULL;21.70 a 74;10
02;1;C22;NULL;24.85 y más;1
02;1;C23;NULL;20.65 a 69;1
02;1;C23;NULL;24.85 y más;2
02;1;C25;NULL;14.35 a 39;2
02;1;C25;NULL;15.40 a 44;3
02;1;C25;NULL;21.70 a 74;40
02;1;C25;NULL;24.85 y más;21
02;1;C26;NULL;22.75 a 79;4
02;1;C31;NULL;21.70 a 74;1
02;1;C32;NULL;21.70 a 74;7
02;1;C32;NULL;24.85 y más;5
02;1;C34;NULL;13.30 a 34;1
02;1;C34;NULL;16.45 a 49;6
02;1;C34;NULL;17.50 a 54;10
02;1;C34;NULL;18.55 a 59;21
02;1;C34;NULL;22.75 a 79;84
02;1;C37;NULL;10.15 a 19;1
02;1;C38;NULL;17.50 a 54;1
02;1;C38;NULL;21.70 a 74;2
02;1;C39;NULL;19.60 a 64;1
02;1;C40;NULL;09.10 a 14;1
02;1;C40;NULL;15.40 a 44;1
02;1;C43;NULL;14.35 a 39;1
02;1;C43;NULL;24.85 y más;6
02;1;C44;NULL;18.55 a 59;1
02;1;C45;NULL;18.55 a 59;1
02;1;C45;NULL;21.70 a 74;3
02;1;C47;NULL;15.40 a 44;1
02;1;C48;NULL;18.55 a 59;2
02;1;C48;NULL;21.70 a 74;3
02;1;C49;NULL;20.65 a 69;3
02;1;C61;NULL;16.45 a 49;1
02;1;C61;NULL;17.50 a 54;1
02;1;C61;NULL;18.55 a 59;2
02;1;C61;NULL;19.60 a 64;17
02;1;C61;NULL;22.75 a 79;46
02;1;C61;NULL;23.80 a 84;41
02;1;C62;NULL;17.50 a 54;1
02;1;C64;NULL;22.75 a 79;14
02;1;C65;NULL;18.55 a 59;1
02;1;C67;NULL;21.70 a 74;7
02;1;C68;NULL;22.75 a 79;2
02;1;C69;NULL;21.70 a 74;1
02;1;C71;NULL;13.30 a 34;1
02;1;C71;NULL;16.45 a 49;7
02;1;C71;NULL;17.50 a 54;5
02;1;C71;NULL;22.75 a 79;10
02;1;C71;NULL;23.80 a 84;4
02;1;C72;NULL;16.45 a 49;1
02;1;C72;NULL;18.55 a 59;1
02;1;C72;NULL;22.75 a 79;2
02;1;C73;NULL;18.55 a 59;1
02;1;C73;NULL;21.70 a 74;3
02;1;C74;NULL;06.3 años;1
02;1;C76;NULL;21.70 a 74;2
02;1;C80;NULL;14.35 a 39;1
02;1;C80;NULL;20.65 a 69;12
02;1;C81;NULL;21.70 a 74;1
02;1;C82;NULL;21.70 a 74;2
02;1;C83;NULL;11.20 a 24;1
02;1;C83;NULL;21.70 a 74;3
02;1;C83;NULL;24.85 y más;5
02;1;C84;NULL;16.45 a 49;1
02;1;C84;NULL;17.50 a 54;2
02;1;C85;NULL;11.20 a 24;1
02;1;C85;NULL;13.30 a 34;1
02;1;C85;NULL;16.45 a 49;1
02;1;C85;NULL;18.55 a 59;1
02;1;C85;NULL;21.70 a 74;6
02;1;C90;NULL;18.55 a 59;1
