indice_tiempo,republica_argentina,capital_federal,buenos_aires,catamarca,cordoba,corrientes,chaco,chubut,entre_rios,formosa,jujuy,la_pampa,la_rioja,mendoza,misiones,neuquen,rio_negro,salta,san_juan,san_luis,santa_cruz,santa_fe,santiago_del_estero,tucuman,tierra_del_fuego
1914-01-01,119852,23486,25599,1483,12939,4483,475,453,6124,149,2084,1050,1071,6110,777,417,500,3440,2682,1752,111,12835,3400,8388,44
1915-01-01,124885,23904,26283,1345,14239,5348,492,446,6692,227,2022,1745,979,6029,770,374,611,3240,2760,1835,136,13957,3358,8081,12
1916-01-01,137952,23289,29696,1651,15770,5495,665,611,8626,328,2414,2328,1055,6652,900,363,547,3438,2831,2054,155,17078,3598,8405,3
1917-01-01,129691,22337,26543,1566,15440,5377,847,368,7732,212,1203,1186,975,7108,644,318,450,3067,2848,2017,95,15092,4393,9865,8
1918-01-01,148097,23805,29320,2701,16942,6175,971,409,8294,225,2596,1315,1258,6723,712,346,497,4042,4844,2588,109,17032,4311,12873,9
1919-01-01,150862,23800,29366,2091,17227,5663,754,314,7529,179,3658,1006,1632,7382,544,269,379,6425,4211,2437,73,17009,5216,13690,8
1920-01-01,129854,24123,27410,1456,15377,5320,887,362,6990,275,2231,907,1013,6192,742,242,422,3955,2794,1898,89,15164,3428,8567,10
1921-01-01,136266,23860,28898,1110,14876,5319,1148,465,7475,365,2631,1156,937,7442,955,322,547,4183,3746,1867,118,15929,3765,9139,13
1922-01-01,124681,23691,27086,1038,14152,4777,1190,472,6589,361,2230,1159,836,6006,986,335,556,3438,2991,1873,105,14040,3512,7245,13
1923-01-01,133588,24353,27631,1333,15529,4886,875,339,7230,270,2574,825,930,7056,711,233,387,4453,3691,2319,78,14495,3918,9461,11
1924-01-01,136454,25219,28706,1337,15015,5122,1474,560,7127,424,2765,1404,818,6189,1772,389,644,4196,3095,2042,138,14806,3870,9925,17
1925-01-01,138133,25421,30253,1186,15348,4616,1453,529,7727,397,2661,1257,976,6538,1105,362,608,4046,3261,1816,130,15191,3978,9259,15
1926-01-01,136445,25788,29913,1242,15300,4207,1387,493,7651,380,2750,1178,990,6477,1031,346,548,4445,3137,1629,106,13261,4087,10084,15
1927-01-01,147092,26531,32943,1241,15835,4780,2011,735,7914,532,3011,1668,1004,6234,1509,481,789,4771,3669,2050,158,15728,4199,9279,20
1928-01-01,142033,26313,31432,1407,15831,4348,2161,764,6951,540,2443,1696,1019,6910,1569,502,794,4040,3746,2235,169,14163,4313,8665,22
1929-01-01,151361,28702,34075,1345,18292,4457,2091,700,7129,498,2317,1574,1034,6816,1462,470,750,4722,3498,2364,139,14978,4428,9499,21
1930-01-01,145185,27095,32233,1255,14749,4363,2799,950,7399,667,2965,2097,1049,6130,1981,627,1009,4571,3152,1950,190,14246,4546,9135,27
1931-01-01,144187,26763,32149,1391,15178,4492,2594,859,7974,590,2530,1843,1064,6511,1764,551,884,4688,3559,2110,176,14391,3669,8433,24
1932-01-01,140802,26177,31122,1475,15674,4360,2438,814,7740,543,2088,1744,1078,5736,1670,504,807,4223,3415,1940,172,13931,4557,8570,24
1933-01-01,142286,25768,30901,1360,15168,4662,2121,808,7776,563,2464,1395,1084,6229,1653,936,1337,4516,3904,1889,180,13638,4290,9613,31
1934-01-01,143027,26229,31328,1348,14051,4675,2375,991,8041,515,2776,1278,1002,6222,1778,823,1437,4827,3456,1864,214,13918,4367,9488,24
1935-01-01,162768,26739,35241,1585,17212,4807,2974,1001,9716,458,3849,1822,1274,6975,1613,887,1690,5817,3841,2426,203,14774,5481,12353,30
1936-01-01,150092,26108,33194,1495,15592,4610,2817,918,8012,463,3346,1381,1161,6182,1831,760,1361,5490,3167,2037,222,14309,4872,10741,23
